src_file,cluster,dev_type,segments,duration_cov,unique_macs,turnover,singleton_mac_frac,mac_rate_per_min,core_mac_density_scaled,adv_mac_pct,gt_frac,tx_s,rot_s,tx_tok,rot_tok,pass_dens_ge_0.25,pass_dens_ge_0.5,pass_dens_ge_0.75,pass_dens_ge_1.0,pass_dens_ge_1.25,pass_dens_ge_1.5,pass_dens_ge_1.8,pass_dens_ge_2.0,pass_dens_ge_2.5,pass_dens_ge_3.0
controlled/Car_Adv/scenarios_car__adv1_apple0_google0_samsung0_tile0__20260126_005951/scenario_tx-30s_rot-5min.csv,1,TAG_APPLE,23,1800.0,23,,,,0.9694023677253959,0.0,0.0,30.0,300.0,30s,5min,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-10s_rot-10s.csv,2,TAG_APPLE,6,1800.0,6,,,,0.44331852591571724,1.0,1.0,10.0,10.0,10s,10s,True,False,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-10s_rot-15min.csv,1,TAG_APPLE,6,1800.0,6,,,,0.477850519043932,0.1875,0.16666666666666666,10.0,900.0,10s,15min,True,False,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-10s_rot-1min.csv,1,TAG_APPLE,17,1800.0,17,,,,0.7560401799692817,0.6944444444444444,0.8235294117647058,10.0,60.0,10s,1min,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-10s_rot-2s.csv,1,TAG_APPLE,23,1800.0,23,,,,0.5419469409697937,0.8148148148148148,0.9565217391304348,10.0,2.0,10s,2s,True,True,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-10s_rot-30s.csv,1,TAG_APPLE,21,1800.0,21,,,,0.7698899677030631,1.0,1.0,10.0,30.0,10s,30s,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-10s_rot-5min.csv,0,TAG_APPLE,5,1800.0,5,,,,0.5188127657406953,0.4,0.4,10.0,300.0,10s,5min,True,True,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-15s_rot-10s.csv,1,TAG_APPLE,32,1800.0,32,,,,0.6506915671968564,0.7560975609756098,0.96875,15.0,10.0,15s,10s,True,True,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-15s_rot-15min.csv,4,TAG_APPLE,2,1800.0,2,,,,0.0,0.5,0.5,15.0,900.0,15s,15min,False,False,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-15s_rot-1min.csv,0,TAG_APPLE,17,1800.0,17,,,,0.8724695873273709,0.7045454545454546,0.8823529411764706,15.0,60.0,15s,1min,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-15s_rot-2s.csv,1,TAG_APPLE,24,1800.0,24,,,,0.508733655955281,0.88,0.9166666666666666,15.0,2.0,15s,2s,True,True,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-15s_rot-30s.csv,1,TAG_APPLE,19,1800.0,19,,,,0.6355323855122167,0.782608695652174,0.8947368421052632,15.0,30.0,15s,30s,True,True,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-15s_rot-5min.csv,0,TAG_APPLE,5,1800.0,5,,,,0.5441338307993322,0.4,0.4,15.0,300.0,15s,5min,True,True,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-1min_rot-10s.csv,1,TAG_APPLE,12,1800.0,12,,,,1.1598931450566417,0.8461538461538461,0.9166666666666666,60.0,10.0,1min,10s,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-1min_rot-15min.csv,4,TAG_APPLE,2,1800.0,2,,,,0.0,0.5,0.5,60.0,900.0,1min,15min,False,False,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-1min_rot-1min.csv,1,TAG_APPLE,13,1800.0,13,,,,0.6622212282326979,0.7857142857142857,0.8461538461538461,60.0,60.0,1min,1min,True,True,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-1min_rot-2s.csv,0,TAG_APPLE,16,1800.0,16,,,,0.6054905426008556,0.8235294117647058,0.875,60.0,2.0,1min,2s,True,True,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-1min_rot-30s.csv,7,TAG_APPLE,3,1800.0,3,,,,0.47755745707654834,1.0,1.0,60.0,30.0,1min,30s,True,False,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-1min_rot-5min.csv,2,TAG_APPLE,5,1800.0,5,,,,0.6411442653719853,0.6,0.6,60.0,300.0,1min,5min,True,True,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-2s_rot-10s.csv,2,TAG_APPLE,7,1800.0,7,,,,0.5254885199336132,1.0,1.0,2.0,10.0,2s,10s,True,True,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-2s_rot-15min.csv,2,TAG_APPLE,2,1800.0,2,,,,0.0,0.5,0.5,2.0,900.0,2s,15min,False,False,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-2s_rot-1min.csv,1,TAG_APPLE,16,1800.0,16,,,,0.7944702860844087,0.7678571428571429,0.875,2.0,60.0,2s,1min,True,True,True,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-2s_rot-2s.csv,1,TAG_APPLE,8,1800.0,8,,,,0.6042942573474033,1.0,1.0,2.0,2.0,2s,2s,True,True,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-2s_rot-30s.csv,2,TAG_APPLE,5,1800.0,5,,,,0.3725371544495815,1.0,1.0,2.0,30.0,2s,30s,True,False,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-2s_rot-5min.csv,2,TAG_APPLE,2,1800.0,2,,,,0.0,0.5,0.5,2.0,300.0,2s,5min,False,False,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-30s_rot-10s.csv,2,TAG_APPLE,7,1800.0,7,,,,0.6955287933481216,0.8571428571428571,0.8571428571428571,30.0,10.0,30s,10s,True,True,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-30s_rot-15min.csv,4,TAG_APPLE,2,1800.0,2,,,,0.0,0.6666666666666666,0.5,30.0,900.0,30s,15min,False,False,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-30s_rot-1min.csv,1,TAG_APPLE,15,1800.0,15,,,,1.073478347048553,0.7894736842105263,0.8666666666666667,30.0,60.0,30s,1min,True,True,True,True,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-30s_rot-2s.csv,0,TAG_APPLE,27,1800.0,27,,,,0.5660691033765001,0.6666666666666666,0.8148148148148148,30.0,2.0,30s,2s,True,True,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-30s_rot-30s.csv,1,TAG_APPLE,17,1800.0,17,,,,0.7439286953886359,0.7619047619047619,0.9411764705882353,30.0,30.0,30s,30s,True,True,False,False,False,False,False,False,False,False
controlled/Car_Adv/scenarios_car__adv2_apple0_google0_samsung0_tile0__20260126_074639/scenario_tx-30s_rot-5min.csv,4,TAG_APPLE,2,1800.0,2,,,,0.0,0.6666666666666666,0.5,30.0,300.0,30s,5min,False,False,False,False,False,False,False,False,False,False
