pkt_idx,timestamp,rf_channel,pdu_type,AdvA,access_address,tag_type,payload,CFO_Hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,CFO_00_Hz,CFO_11_Hz,CFO_10_Hz,CFO_01_Hz
236,1769128138.176005363,37,0,F8:F5:DB:6D:10:95,8E89BED6,APPLE,95106ddbf5f81eff4c001219205a0115950b6edd405a6cd6d5fec21b9b71ced47677960095,11847.027352,7411.028290,11847.026801,362692.041712,270522.405923,0.940595,79.215544,3.000000,5695.684303,23.068824,305851.063830,376.000000,4673.190918,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,55594.738281,-2649.302734,3639608,3640360,33501.966673,-8009.765102,-7720.234538,21749.789379
237,1769128138.221890211,37,0,D1:C0:8C:81:3B:E6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,1852.706803,6637.698615,1852.707952,274132.319907,214061.160347,0.965906,-68.845458,51.500000,10281.899130,24.549958,125000.000000,376.000000,2328.993896,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,45675.781250,13364.029297,3690929,3691681,-5717.499948,-9504.950163,3844.035869,6477.542145
238,1769128138.267597198,37,0,D1:C0:8C:81:3B:E6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,2206.063852,6542.306297,2206.063298,273571.302802,228638.123334,0.967284,-68.864683,51.500000,10226.477850,24.553640,125000.000000,376.000000,2015.883423,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,50651.230469,13266.813477,3690930,3691682,-3252.908676,-6466.242912,4388.026643,968.475260
246,1769128138.320934772,37,0,54:C1:36:D2:2C:67,8E89BED6,SAMSUNG,672cd236c15402010403025afd17165afd132df90201825f7b715b06c1a7000000ce0278d5,22010.016010,4766.003549,22010.016596,349869.553569,256531.033158,1.027704,-9.630595,2.500000,36165.001272,24.338718,210106.382979,376.000000,10888.204102,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,23228.939453,3848.469971,3805436,3806188,-11547.232854,97538.104075,3254.988736,18788.005729
247,1769128138.365112543,37,0,54:C1:36:D2:2C:67,8E89BED6,SAMSUNG,672cd236c15402010403025afd17165afd132df90201825f7b715b06c1a7000000ce0278d5,22513.742666,4642.262909,22513.742439,349162.325152,278210.622865,1.029339,-10.282554,2.500000,35992.355909,24.338715,210106.382979,376.000000,11265.223633,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,24420.384766,3887.752441,3805437,3806189,-5338.881951,77036.105920,-3565.493912,34249.727887
252,1769128138.414366007,37,0,ED:44:62:04:91:58,8E89BED6,APPLE,5891046244ed1eff4c00121920aa40a3384b2b924a8515ddf0b4f535cbc738bdd374bd0358,15067.563845,9007.384867,15067.564009,324032.276930,247524.613028,0.998189,46.429105,94.000000,18097.738011,23.262518,327127.659574,376.000000,6094.098145,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,26659.609375,17276.015625,3892202,3892954,56568.904427,-11170.503789,-13403.035951,21235.339288
253,1769128138.456409454,37,0,ED:44:62:04:91:58,8E89BED6,APPLE,5891046244ed1eff4c00121920aa40a3384b2b924a8515ddf0b4f535cbc738bdd374bd0358,14820.945284,8952.415139,14820.944979,322989.376656,249086.231547,0.999403,45.492191,94.000000,17968.484180,23.320183,327127.659574,376.000000,6174.474609,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,26634.873047,17212.320312,3892203,3892955,59584.325063,-22868.207230,-646.642490,15517.348507
282,1769128139.034703255,37,0,50:92:84:67:D9:B6,8E89BED6,GOOGLE,b6d9678492500201061916aafe41808d1f5380f818f9708687cfcb10327973d720d19b,-23698.293507,3253.422793,-23698.293176,363103.177992,285383.531467,1.005695,37.274084,1.000000,-10772.468385,21.479854,472222.222222,360.000000,2896.917236,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-4299.363770,-2278.403564,4498818,4499538,-38871.822023,-30800.332880,26247.951337,-52372.897770
283,1769128139.082591057,37,0,50:92:84:67:D9:B6,8E89BED6,GOOGLE,b6d9678492500201061916aafe41808d1f5380f818f9708687cfcb10327973d720d19b,-24251.310454,3122.570175,-24251.310408,362077.716032,287041.289363,1.007373,34.728406,1.000000,-10978.874987,21.530298,472222.222222,360.000000,2922.452637,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-4299.363770,-2418.242920,4498819,4499539,-31447.609323,-3680.882770,-21934.375961,-45541.555638
288,1769128139.133420229,37,0,4B:7E:DD:03:C0:83,8E89BED6,GOOGLE,83c003dd7e4b0201061916aafe41cbd4a13a948f7824f7268c885a931d5b631e839e73,-901.168546,1949.565573,-901.166534,358548.123492,257555.857490,1.026291,36.226516,1.000000,5811.002112,22.311771,486111.111111,360.000000,14291.902344,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,28189.880859,-697.719299,4574921,4575641,-26906.228092,26350.055072,-12873.536428,6051.396593
