file,adv_addr,pdu_type,access_address,pcap_ts,bw_3db_hz,cfo_centroid_hz,cfo_hz,cfo_preaa_hz,cfo_std_hz,cfo_std_hz_sym,cfo_two_stage_coarse_hz,cfo_two_stage_hz,cfo_two_stage_score,gated_len_us,i_std,iq_gain_alpha,iq_phase_deg,mag_mean,psd_centroid_hz,psd_pnr_db,q_std,rise_time_us
pkt_000078.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613528.624403,1719387.755102041,721.78859217966,24096.995140763072,54410.49169780017,553879.625,396354.82735469576,-988.6320831204945,nan,0.39999999999987346,392.0,0.7186782360076904,1.0335596799850464,1.3087425777896542,0.8874168992042542,-17791.077134155068,10.568893040817894,0.6953427791595459,1.0
pkt_000079.fc32,df:62:ef:89:f6:2f,4,8E89BED6,1761613528.624617,1405487.8048780486,-3937.8029694231927,-1600.122853934086,-112363.21436290743,559944.125,404590.49289411015,1134.6258085571371,nan,0.39999999999987346,328.0,0.733232319355011,1.0783175230026245,10.971588332324803,0.8888617753982544,-10669.45598037078,10.288310890124478,0.6799781322479248,0.5
pkt_000080.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613529.098490,1303571.4285714286,7480.441877793899,-14085.915726471529,nan,588876.4375,393523.1849718401,12644.452853803024,8453.684949602059,0.549999999999826,392.0,0.7047908306121826,0.9934815168380737,-55.927195696679114,0.8833918571472168,-26273.674168457364,11.892395447144231,0.7094151377677917,1.0
pkt_000081.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613529.098618,1303571.4285714286,7480.441877793899,-14085.915726471529,nan,588876.4375,393523.1849718401,12644.452853803024,8453.684949602059,0.549999999999826,392.0,0.7047908306121826,0.9934815168380737,-55.927195696679114,0.8833918571472168,-26273.674168457364,11.892395447144231,0.7094151377677917,1.0
pkt_000082.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613529.600636,2551.0204081632655,21754.41409268968,29013.38902127287,-102641.37923040516,554085.0625,390965.19351362926,22512.888980639826,nan,0.4499999999998576,392.0,0.6830778121948242,0.9352802038192749,79.92743035909753,0.8738850355148315,22650.480326133325,14.033647652606906,0.7303456664085388,0.0
pkt_000083.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613529.600741,2551.0204081632655,21754.41409268968,29013.38902127287,-102641.37923040516,554085.0625,390965.19351362926,22512.888980639826,nan,0.4499999999998576,392.0,0.6830778121948242,0.9352802038192749,79.92743035909753,0.8738850355148315,22650.480326133325,14.033647652606906,0.7303456664085388,0.0
pkt_000084.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613530.164560,1948979.5918367347,nan,nan,nan,nan,nan,nan,nan,nan,392.0,0.6840599179267883,0.9378058910369873,-79.72480451979307,0.8957046866416931,-22375.94290476797,9.59386360690517,0.7294259071350098,0.0
pkt_000085.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613530.164709,1948979.5918367347,nan,nan,nan,nan,nan,nan,nan,nan,392.0,0.6840599179267883,0.9378058910369873,-79.72480451979307,0.8957046866416931,-22375.94290476797,9.59386360690517,0.7294259071350098,0.0
pkt_000086.fc32,df:62:ef:89:f6:2f,4,8E89BED6,1761613530.165046,1917682.9268292682,15721.807398281506,25884.472247709644,143877.78308433705,567038.5625,379955.3970276767,13483.551154707216,nan,0.39999999999987346,328.0,0.686764657497406,0.944811999797821,-71.98342697288311,0.8937351703643799,-7912.773597260625,10.183550582569453,0.7268797159194946,1.0
pkt_000087.fc32,df:62:ef:89:f6:2f,4,8E89BED6,1761613530.165647,1917682.9268292682,15721.807398281506,25884.472247709644,143877.78308433705,567038.5625,379955.3970276767,13483.551154707216,nan,0.39999999999987346,328.0,0.686764657497406,0.944811999797821,-71.98342697288311,0.8937351703643799,-7912.773597260625,10.183550582569453,0.7268797159194946,1.0
pkt_000088.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613530.787369,1316326.530612245,-6536.084092596933,18275.652184486014,30722.060449076955,560726.125,397496.1789805403,-775.7212098469963,nan,0.4499999999998576,392.0,0.7192539572715759,1.0352742671966553,5.472544540843975,0.8978611826896667,2354.0222243062663,10.780308258578511,0.694747269153595,0.0
pkt_000089.fc32,df:62:ef:89:f6:2f,4,8E89BED6,1761613530.787669,1841463.4146341463,nan,nan,nan,nan,nan,nan,nan,nan,328.0,0.7232356667518616,1.0472549200057983,3.9642629965343406,0.8967381119728088,5949.951221316782,9.22426008381515,0.6906012892723083,0.0
pkt_000090.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613531.352946,1875000.0,-6020.781373339077,19045.28169471259,nan,579990.25,433758.3101145466,-5390.535795024936,-14369.357990704648,0.4999999999998418,392.0,0.6825149655342102,0.9338371157646179,-82.0629100999678,0.8925193548202515,5328.19803770928,10.369311346391044,0.7308714985847473,0.0
pkt_000091.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613531.353083,1875000.0,-6020.781373339077,19045.28169471259,nan,579990.25,433758.3101145466,-5390.535795024936,-14369.357990704648,0.4999999999998418,392.0,0.6825149655342102,0.9338371157646179,-82.0629100999678,0.8925193548202515,5328.19803770928,10.369311346391044,0.7308714985847473,0.0
pkt_000092.fc32,df:62:ef:89:f6:2f,4,8E89BED6,1761613531.353276,1871951.2195121949,nan,nan,nan,nan,nan,nan,nan,nan,328.0,0.6935343146324158,0.9626758694648743,-83.50091255304312,0.8908431529998779,9626.255658447071,9.777247244977032,0.7204235196113586,1.0
pkt_000093.fc32,df:62:ef:89:f6:2f,4,8E89BED6,1761613531.353326,1871951.2195121949,nan,nan,nan,nan,nan,nan,nan,nan,328.0,0.6935343146324158,0.9626758694648743,-83.50091255304312,0.8908431529998779,9626.255658447071,9.777247244977032,0.7204235196113586,1.0
pkt_000094.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613531.845536,1877551.0204081633,-21794.657679351774,63062.51050605381,-19562.951929759744,564197.25,386892.8736786634,-23779.77846751119,nan,0.4499999999998576,392.0,0.7138832807540894,1.0194478034973145,30.792629023681304,0.8883399963378906,-715.8583515047185,10.127245901736583,0.7002646923065186,1.0
pkt_000095.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613531.845646,1877551.0204081633,-21794.657679351774,63062.51050605381,-19562.951929759744,564197.25,386892.8736786634,-23779.77846751119,nan,0.4499999999998576,392.0,0.7138832807540894,1.0194478034973145,30.792629023681304,0.8883399963378906,-715.8583515047185,10.127245901736583,0.7002646923065186,1.0
pkt_000096.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613532.322393,1410714.285714286,-8159.798092794979,22780.73231033699,nan,556334.9375,393904.98747644876,-9361.547201313173,6480.065916870182,0.4999999999998418,392.0,0.7082862854003906,1.0033444166183472,-41.88750238166736,0.8795247673988342,-18623.828659053248,11.446605194138264,0.7059254050254822,0.0
pkt_000097.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613532.322509,1410714.285714286,-8159.798092794979,22780.73231033699,nan,556334.9375,393904.98747644876,-9361.547201313173,6480.065916870182,0.4999999999998418,392.0,0.7082862854003906,1.0033444166183472,-41.88750238166736,0.8795247673988342,-18623.828659053248,11.446605194138264,0.7059254050254822,0.0
pkt_000098.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613532.828323,989795.9183673471,8974.130683577418,-43316.718206762365,-3377.906813728464,537873.875,355283.01089541084,8627.074752906377,nan,0.4499999999998576,392.0,0.702387809753418,0.9867846369743347,53.09688314090886,0.8864275813102722,-55973.204168275755,12.272848803549767,0.7117944359779358,0.5
pkt_000099.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613533.303583,1551020.4081632653,5576.308995453036,16913.52273650853,nan,572504.375,401010.5232743437,5186.9578343201965,-6736.322083538552,0.4999999999998418,392.0,0.7143132090568542,1.0207009315490723,-2.9970592399083187,0.8923250436782837,30757.42617938446,10.033130558783832,0.699826180934906,0.0
pkt_000100.fc32,df:62:ef:89:f6:2f,4,8E89BED6,1761613533.303775,1402439.0243902437,8261.446275766622,12388.669450169713,53224.396146119,571655.25,404881.6761348475,5483.541973523223,nan,0.4499999999998576,328.0,0.7099405527114868,1.0080636739730835,-23.946080005174267,0.8919966220855713,13076.989177827883,10.008719983622967,0.7042615413665771,0.0
pkt_000101.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613533.764757,1959183.673469388,16399.210187949273,39944.07988790931,39944.07988790931,552621.3125,389852.91677800147,29609.879114585136,nan,0.4499999999998576,392.0,0.6912916898727417,0.9567046165466309,-62.23580468034012,0.8849393725395203,41339.61746713078,10.405873590688605,0.722575843334198,0.0
