src_file,cluster,dev_type,segments,duration_cov,unique_macs,turnover,singleton_mac_frac,mac_rate_per_min,core_mac_density_scaled,adv_mac_pct,gt_frac,tx_s,rot_s,tx_tok,rot_tok,pass_dens_ge_0.5,pass_dens_ge_0.7,pass_dens_ge_0.9,pass_dens_ge_1.1,pass_dens_ge_1.3,pass_dens_ge_1.5,pass_dens_ge_1.8,pass_dens_ge_2.0
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219ff__20260130_042605/scenario_tx-10s_rot-15min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,10.0,900.0,10s,15min,False,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-1min_rot-30s.csv,6,TAG_APPLE,5,1800.0,5,,,,0.939098003697656,1.0,1.0,60.0,30.0,1min,30s,True,True,True,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-30s_rot-10s.csv,6,TAG_APPLE,5,1800.0,5,,,,1.0208666779063094,1.0,1.0,30.0,10.0,30s,10s,True,True,True,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-1min_rot-2s.csv,12,TAG_APPLE,2,1800.0,2,,,,0.0,1.0,1.0,60.0,2.0,1min,2s,False,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219ff__20260130_042605/scenario_tx-10s_rot-1min.csv,2,TAG_APPLE,3,1800.0,3,,,,0.552895051514069,1.0,1.0,10.0,60.0,10s,1min,True,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-1min_rot-5min.csv,3,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,60.0,300.0,1min,5min,False,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-2s_rot-10s.csv,4,TAG_APPLE,4,1800.0,4,,,,1.1441073721004957,1.0,1.0,2.0,10.0,2s,10s,True,True,True,True,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-2s_rot-15min.csv,1,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,2.0,900.0,2s,15min,False,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-2s_rot-30s.csv,3,TAG_APPLE,9,1800.0,9,,,,1.4845967220279799,1.0,1.0,2.0,30.0,2s,30s,True,True,True,True,True,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-30s_rot-1min.csv,0,TAG_APPLE,4,1800.0,4,,,,0.498859368185867,1.0,1.0,30.0,60.0,30s,1min,False,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-30s_rot-5min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,30.0,300.0,30s,5min,False,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-2s_rot-5min.csv,1,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,2.0,300.0,2s,5min,False,False,False,False,False,False,False,False
