n,I,Q,mag,phase
348,-0.0412877947,0.0437617227,0.0601645275,2.3271146
349,-0.0412877947,0.0437617227,0.0601645275,2.3271146
350,-0.0412877947,0.0437617227,0.0601645275,2.3271146
351,-0.0412877947,0.0437617227,0.0601645275,2.3271146
352,-0.0412877947,0.0437617227,0.0601645275,2.3271146
353,-0.0412877947,0.0437617227,0.0601645275,2.3271146
354,-0.0412877947,0.0437617227,0.0601645275,2.3271146
355,-0.0412877947,0.0437617227,0.0601645275,2.3271146
356,-0.0412877947,0.0437617227,0.0601645275,2.3271146
357,-0.0412877947,0.0437617227,0.0601645275,2.3271146
358,-0.0412877947,0.0437617227,0.0601645275,2.3271146
359,-0.0412877947,0.0437617227,0.0601645275,2.3271146
360,-0.0412877947,0.0437617227,0.0601645275,2.3271146
361,-0.0412877947,0.0437617227,0.0601645275,2.3271146
362,-0.0412877947,0.0437617227,0.0601645275,2.3271146
363,-0.0412877947,0.0437617227,0.0601645275,2.3271146
364,-0.0412877947,0.0437617227,0.0601645275,2.3271146
365,-0.0412877947,0.0437617227,0.0601645275,2.3271146
366,-0.0412877947,0.0437617227,0.0601645275,2.3271146
367,-0.0412877947,0.0437617227,0.0601645275,2.3271146
368,-0.0412877947,0.0437617227,0.0601645275,2.3271146
369,-0.0412877947,0.0437617227,0.0601645275,2.3271146
370,-0.0412877947,0.0437617227,0.0601645275,2.3271146
371,-0.0412877947,0.0437617227,0.0601645275,2.3271146
372,-0.0412877947,0.0437617227,0.0601645275,2.3271146
373,-0.0412877947,0.0437617227,0.0601645275,2.3271146
374,-0.0412877947,0.0437617227,0.0601645275,2.3271146
375,-0.0412877947,0.0437617227,0.0601645275,2.3271146
376,-0.0412877947,0.0437617227,0.0601645275,2.3271146
377,-0.0412877947,0.0437617227,0.0601645275,2.3271146
378,-0.0412877947,0.0437617227,0.0601645275,2.3271146
379,-0.0412877947,0.0437617227,0.0601645275,2.3271146
380,-0.0412877947,0.0437617227,0.0601645275,2.3271146
381,-0.0412877947,0.0437617227,0.0601645275,2.3271146
382,-0.0412877947,0.0437617227,0.0601645275,2.3271146
383,-0.0412877947,0.0437617227,0.0601645275,2.3271146
384,-0.0412877947,0.0437617227,0.0601645275,2.3271146
385,-0.0412877947,0.0437617227,0.0601645275,2.3271146
386,-0.0412877947,0.0437617227,0.0601645275,2.3271146
387,-0.0412877947,0.0437617227,0.0601645275,2.3271146
388,-0.0412877947,0.0437617227,0.0601645275,2.3271146
389,-0.0412877947,0.0437617227,0.0601645275,2.3271146
390,-0.0412877947,0.0437617227,0.0601645275,2.3271146
391,-0.0412877947,0.0437617227,0.0601645275,2.3271146
392,-0.0412877947,0.0437617227,0.0601645275,2.3271146
393,-0.0412877947,0.0437617227,0.0601645275,2.3271146
394,-0.0412877947,0.0437617227,0.0601645275,2.3271146
395,-0.0412877947,0.0437617227,0.0601645275,2.3271146
396,-0.0412877947,0.0437617227,0.0601645275,2.3271146
397,-0.0412877947,0.0437617227,0.0601645275,2.3271146
398,-0.0412877947,0.0437617227,0.0601645275,2.3271146
399,-0.0412877947,0.0437617227,0.0601645275,2.3271146
400,-0.0412877947,0.0437617227,0.0601645275,2.3271146
401,-0.0412877947,0.0437617227,0.0601645275,2.3271146
402,-0.0412877947,0.0437617227,0.0601645275,2.3271146
403,-0.0412877947,0.0437617227,0.0601645275,2.3271146
404,-0.0412877947,0.0437617227,0.0601645275,2.3271146
405,-0.0412877947,0.0437617227,0.0601645275,2.3271146
406,-0.0412877947,0.0437617227,0.0601645275,2.3271146
407,-0.0412877947,0.0437617227,0.0601645275,2.3271146
408,-0.0412877947,0.0437617227,0.0601645275,2.3271146
409,-0.0412877947,0.0437617227,0.0601645275,2.3271146
410,-0.0412877947,0.0437617227,0.0601645275,2.3271146
411,-0.0412877947,0.0437617227,0.0601645275,2.3271146
412,-0.0412877947,0.0437617227,0.0601645275,2.3271146
413,-0.0412877947,0.0437617227,0.0601645275,2.3271146
414,-0.0412877947,0.0437617227,0.0601645275,2.3271146
415,-0.0412877947,0.0437617227,0.0601645275,2.3271146
416,-0.0412877947,0.0437617227,0.0601645275,2.3271146
417,-0.0412877947,0.0437617227,0.0601645275,2.3271146
418,-0.0412877947,0.0437617227,0.0601645275,2.3271146
419,-0.0412877947,0.0437617227,0.0601645275,2.3271146
420,-0.0412877947,0.0437617227,0.0601645275,2.3271146
421,-0.0412877947,0.0437617227,0.0601645275,2.3271146
422,-0.0412877947,0.0437617227,0.0601645275,2.3271146
423,-0.0412877947,0.0437617227,0.0601645275,2.3271146
424,-0.0412877947,0.0437617227,0.0601645275,2.3271146
425,-0.0412877947,0.0437617227,0.0601645275,2.3271146
426,-0.0412877947,0.0437617227,0.0601645275,2.3271146
427,-0.0412877947,0.0437617227,0.0601645275,2.3271146
428,-0.0412877947,0.0437617227,0.0601645275,2.3271146
429,-0.0412877947,0.0437617227,0.0601645275,2.3271146
430,-0.0412877947,0.0437617227,0.0601645275,2.3271146
431,-0.0412877947,0.0437617227,0.0601645275,2.3271146
432,-0.0412877947,0.0437617227,0.0601645275,2.3271146
433,-0.0412877947,0.0437617227,0.0601645275,2.3271146
434,-0.0412877947,0.0437617227,0.0601645275,2.3271146
435,-0.0412877947,0.0437617227,0.0601645275,2.3271146
436,-0.0412877947,0.0437617227,0.0601645275,2.3271146
437,-0.0412877947,0.0437617227,0.0601645275,2.3271146
438,-0.0412877947,0.0437617227,0.0601645275,2.3271146
439,-0.0412877947,0.0437617227,0.0601645275,2.3271146
440,-0.0412877947,0.0437617227,0.0601645275,2.3271146
441,-0.0412877947,0.0437617227,0.0601645275,2.3271146
442,-0.0412877947,0.0437617227,0.0601645275,2.3271146
443,-0.0412877947,0.0437617227,0.0601645275,2.3271146
444,-0.0412877947,0.0437617227,0.0601645275,2.3271146
445,-0.0412877947,0.0437617227,0.0601645275,2.3271146
446,-0.0412877947,0.0437617227,0.0601645275,2.3271146
447,-0.0412877947,0.0437617227,0.0601645275,2.3271146
448,-0.0412877947,0.0437617227,0.0601645275,2.3271146
449,-0.0412877947,0.0437617227,0.0601645275,2.3271146
450,-0.0412877947,0.0437617227,0.0601645275,2.3271146
451,-0.0412877947,0.0437617227,0.0601645275,2.3271146
452,-0.0412877947,0.0437617227,0.0601645275,2.3271146
453,-0.0412877947,0.0437617227,0.0601645275,2.3271146
454,-0.0412877947,0.0437617227,0.0601645275,2.3271146
455,-0.0412877947,0.0437617227,0.0601645275,2.3271146
456,-0.0412877947,0.0437617227,0.0601645275,2.3271146
457,-0.0412877947,0.0437617227,0.0601645275,2.3271146
458,-0.0412877947,0.0437617227,0.0601645275,2.3271146
459,-0.0412877947,0.0437617227,0.0601645275,2.3271146
