pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end
56,1763953631.172576189,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-35878.124881,-35878.124881,-35878.124881,242177.550696,242177.550696,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-35878.125000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-120249.312500,-53422.863281,183785615,183785999
57,1763953631.172762871,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-36510.416671,-36510.416671,-36510.416671,242054.866639,242054.866639,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-36510.417969,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-120249.312500,-54023.351562,183785616,183786000
58,1763953631.649062872,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-36231.774359,-36231.774359,-36231.774359,237452.569456,237452.569456,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-36231.773438,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-97696.000000,-53530.449219,187795551,187795935
59,1763953631.649296522,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-36765.075817,-36765.075817,-36765.075817,237363.950923,237363.950923,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-36765.074219,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-97696.000000,-54132.667969,187795552,187795936
62,1763953632.537338018,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-36256.674386,-36256.674386,-36256.674386,237835.625241,237835.625241,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-36256.675781,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-63402.636719,-58723.519531,195807630,195808014
63,1763953633.419643879,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-38496.045949,-38496.045949,-38496.045949,255451.402936,255451.402936,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-38496.046875,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-126721.125000,-54699.730469,203822133,203822517
64,1763953633.419803858,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-39549.256594,-39549.256594,-39549.256594,255125.723985,255125.723985,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-39549.257812,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-126721.125000,-55371.535156,203822134,203822518
65,1763953634.309112310,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-35850.243675,-35850.243675,-35850.243675,241732.217004,241732.217004,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-35850.242188,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-126462.718750,-53421.062500,211838153,211838537
66,1763953634.309285164,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-36762.149532,-36762.149532,-36762.149532,241490.356829,241490.356829,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-36762.148438,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-128122.726562,-54029.832031,211838154,211838538
68,1763953634.740333319,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-40159.555863,-40159.555863,-40159.555863,257388.828496,257388.828496,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-40159.554688,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-98250.703125,-55336.023438,215856550,215856934
