chunk_idx,t_s,t_e,mac,n_rows,seg_CFO_Hz,seg_CFO_00_Hz,seg_CFO_11_Hz,seg_CFO_10_Hz,seg_CFO_01_Hz,cluster,is_flagged_cluster
0,0.0,900.0,F0:3B:1D:E4:08:C5,1,-39141.0,137612.0,-107872.0,105010.0,-105383.0,0,1
0,0.0,900.0,EF:76:81:0A:A3:57,1,-4339.0,117031.0,-122406.0,128738.0,-96620.0,0,1
0,0.0,900.0,F3:8C:C6:F7:29:CD,1,4882.0,136639.0,-164955.0,109530.0,-113286.0,0,1
0,0.0,900.0,D3:DF:A8:25:BF:59,1,-23519.0,52856.0,-71871.0,113399.0,-51852.0,-1,0
0,0.0,900.0,D2:FA:2C:35:F6:00,22,-12150.09090909091,121974.22727272728,-113613.40909090909,111467.77272727272,-108772.0,0,1
0,0.0,900.0,D2:7A:2C:35:F6:00,2,3953.5,55717.0,-103373.5,63336.0,-100266.5,-1,0
0,0.0,900.0,DF:68:B7:CA:1B:A9,1,-2008.0,111293.0,-111463.0,100407.0,-104212.0,0,1
0,0.0,900.0,F8:EC:90:D5:52:A0,1,-16409.0,160872.0,-158150.0,112221.0,-115134.0,0,1
0,0.0,900.0,FD:3A:33:20:76:24,1,-31208.0,114210.0,-139499.0,97447.0,-108459.0,0,1
0,0.0,900.0,D2:FA:AC:35:F6:00,1,-13444.0,130162.0,-149475.0,124145.0,-122350.0,0,1
0,0.0,900.0,EF:70:81:0A:A3:17,1,13152.0,126397.0,-138991.0,127042.0,-96755.0,0,1
0,0.0,900.0,CA:69:77:D6:CA:58,1,-4346.0,161157.0,-153091.0,109823.0,-109771.0,0,1
0,0.0,900.0,CB:36:A3:50:37:4C,1,-22883.0,111670.0,-119575.0,103642.0,-119949.0,0,1
0,0.0,900.0,DF:7A:B7:CA:2F:A9,1,-6626.0,136220.0,-149091.0,119099.0,-116638.0,0,1
0,0.0,900.0,DB:39:17:45:B9:1F,1,-9053.0,130463.0,-131794.0,98985.0,-93803.0,0,1
0,0.0,900.0,C2:88:16:D1:5B:A8,1,-29439.0,130148.0,-149745.0,115368.0,-113096.0,0,1
0,0.0,900.0,D3:E4:2F:15:52:F2,1,4775.0,162888.0,-134600.0,133787.0,-122257.0,-1,0
0,0.0,900.0,DF:A3:85:AD:93:72,1,6541.0,117524.0,-105699.0,110742.0,-87514.0,0,1
0,0.0,900.0,EA:5E:2E:0C:1D:4B,9,-15066.555555555555,126199.77777777778,-136525.77777777778,121824.22222222222,-117472.88888888889,0,1
0,0.0,900.0,EE:7F:61:FC:6A:44,1,12365.0,111771.0,-87291.0,101563.0,-106685.0,0,1
0,0.0,900.0,D7:50:E7:6B:F3:B1,1,1311.0,149766.0,-135848.0,113226.0,-113387.0,0,1
0,0.0,900.0,8F:E8:81:0A:A3:17,1,-5959.0,100634.0,-118141.0,124995.0,-89091.0,0,1
0,0.0,900.0,CE:1E:5A:E7:87:B8,1,-5379.0,131730.0,-152100.0,98845.0,-112486.0,0,1
0,0.0,900.0,D1:E5:49:B3:E4:24,1,-17369.0,117089.0,-122697.0,98928.0,-101149.0,0,1
0,0.0,900.0,FD:3A:33:20:56:F4,1,-22935.0,90583.0,-65116.0,82219.0,-80130.0,-1,0
0,0.0,900.0,F3:BE:D3:AC:F1:B2,1,-2023.0,74987.0,-101033.0,85304.0,-95790.0,-1,0
0,0.0,900.0,F2:9C:A2:9C:45:0A,1,-7141.0,164008.0,-146097.0,106401.0,-111189.0,0,1
