idx,mac,cluster,t
388,EE:A8:E4:DF:CD:E9,4,1760148127.450998
389,EE:A8:E4:DF:CD:E9,4,1760148127.451043
390,58:1D:3E:9A:9C:CF,4,1760148127.457689
391,58:1D:3E:9A:9C:CF,3,1760148127.457844
392,58:1D:3E:9A:9C:CF,3,1760148127.457876
393,6F:BD:31:06:60:8F,4,1760148127.459002
394,67:1B:76:98:F8:0A,4,1760148127.459425
395,67:1B:76:98:F8:0A,3,1760148127.459574
396,CA:18:06:4A:A6:34,2,1760148127.483955
397,6F:BD:31:06:60:8F,2,1760148127.499310
398,6F:BD:31:06:60:8F,2,1760148127.499382
399,49:25:F4:02:F1:57,2,1760148127.500177
400,49:25:F4:02:F1:57,2,1760148127.500216
401,58:1D:3E:9A:9C:CF,2,1760148127.511452
402,58:1D:3E:9A:9C:CF,2,1760148127.511492
403,58:1D:3E:9A:9C:CF,2,1760148127.511644
404,58:1D:3E:9A:9C:CF,2,1760148127.511675
405,67:1B:76:98:F8:0A,2,1760148127.513271
406,6F:BD:31:06:60:8F,1,1760148127.540788
407,6F:BD:31:06:60:8F,1,1760148127.540864
408,49:25:F4:02:F1:57,1,1760148127.555415
409,58:1D:3E:9A:9C:CF,1,1760148127.566607
410,58:1D:3E:9A:9C:CF,0,1760148127.566830
411,67:1B:76:98:F8:0A,0,1760148127.581119
412,67:1B:76:98:F8:0A,0,1760148127.581308
413,6F:BD:31:06:60:8F,1,1760148127.582027
414,49:25:F4:02:F1:57,0,1760148127.611225
415,49:25:F4:02:F1:57,0,1760148127.611281
416,49:25:F4:02:F1:57,0,1760148127.611434
417,49:25:F4:02:F1:57,0,1760148127.611471
418,6F:BD:31:06:60:8F,1,1760148127.611596
419,58:1D:3E:9A:9C:CF,4,1760148127.633966
420,67:1B:76:98:F8:0A,4,1760148127.636306
421,67:1B:76:98:F8:0A,4,1760148127.636460
422,E9:E0:F5:D9:0D:AC,4,1760148127.645841
423,E9:E0:F5:D9:0D:AC,4,1760148127.645888
424,6F:BD:31:06:60:8F,1,1760148127.652988
425,6F:BD:31:06:60:8F,1,1760148127.653042
426,F7:8F:C1:10:E6:75,4,1760148127.653238
427,F0:9B:FA:B6:46:83,4,1760148127.661246
428,F0:9B:FA:B6:46:83,4,1760148127.661392
429,F0:9B:FA:B6:46:83,4,1760148127.661425
430,D7:80:75:4B:C7:23,4,1760148127.662333
431,D7:80:75:4B:C7:23,4,1760148127.662372
432,49:25:F4:02:F1:57,4,1760148127.666343
433,58:1D:3E:9A:9C:CF,0,1760148127.688871
434,58:1D:3E:9A:9C:CF,0,1760148127.688953
435,58:1D:3E:9A:9C:CF,0,1760148127.689107
436,58:1D:3E:9A:9C:CF,0,1760148127.689140
437,67:1B:76:98:F8:0A,0,1760148127.691862
438,6F:BD:31:06:60:8F,0,1760148127.694259
439,6F:BD:31:06:60:8F,0,1760148127.694308
440,49:25:F4:02:F1:57,1,1760148127.733386
441,6F:BD:31:06:60:8F,1,1760148127.734448
442,6F:BD:31:06:60:8F,1,1760148127.734493
443,58:1D:3E:9A:9C:CF,1,1760148127.744687
444,E3:1B:F1:68:13:83,1,1760148127.746617
445,67:1B:76:98:F8:0A,1,1760148127.747541
446,67:1B:76:98:F8:0A,1,1760148127.747704
447,67:1B:76:98:F8:0A,1,1760148127.747739
448,FB:03:54:DD:28:BC,1,1760148127.757377
449,FB:03:54:DD:28:BC,1,1760148127.757572
450,6F:BD:31:06:60:8F,1,1760148127.764849
451,E8:E7:6B:AB:25:1B,1,1760148127.766970
452,49:25:F4:02:F1:57,2,1760148127.789416
453,49:25:F4:02:F1:57,2,1760148127.789495
454,49:25:F4:02:F1:57,2,1760148127.789660
455,49:25:F4:02:F1:57,2,1760148127.789698
456,58:1D:3E:9A:9C:CF,2,1760148127.800643
457,67:1B:76:98:F8:0A,2,1760148127.801999
458,67:1B:76:98:F8:0A,2,1760148127.802155
459,6F:BD:31:06:60:8F,2,1760148127.805017
460,49:25:F4:02:F1:57,0,1760148127.845973
461,49:25:F4:02:F1:57,0,1760148127.846063
462,6F:BD:31:06:60:8F,0,1760148127.847096
463,61:32:E8:60:D5:55,1,1760148127.855505
464,58:1D:3E:9A:9C:CF,0,1760148127.856085
465,58:1D:3E:9A:9C:CF,1,1760148127.856246
466,67:1B:76:98:F8:0A,0,1760148127.857394
467,67:1B:76:98:F8:0A,1,1760148127.857554
468,EE:A8:E4:DF:CD:E9,0,1760148127.862157
469,EE:A8:E4:DF:CD:E9,0,1760148127.862203
470,6F:BD:31:06:60:8F,2,1760148127.887940
471,CA:18:06:4A:A6:34,2,1760148127.896985
472,49:25:F4:02:F1:57,2,1760148127.900952
473,49:25:F4:02:F1:57,2,1760148127.900996
474,61:32:E8:60:D5:55,2,1760148127.910452
475,61:32:E8:60:D5:55,2,1760148127.910499
476,61:32:E8:60:D5:55,3,1760148127.910653
477,61:32:E8:60:D5:55,3,1760148127.910686
478,58:1D:3E:9A:9C:CF,2,1760148127.912216
479,58:1D:3E:9A:9C:CF,3,1760148127.912374
480,67:1B:76:98:F8:0A,2,1760148127.912838
481,67:1B:76:98:F8:0A,3,1760148127.913004
482,6F:BD:31:06:60:8F,2,1760148127.917595
483,49:25:F4:02:F1:57,4,1760148127.956928
484,49:25:F4:02:F1:57,4,1760148127.957008
485,49:25:F4:02:F1:57,4,1760148127.957168
486,49:25:F4:02:F1:57,4,1760148127.957211
487,6F:BD:31:06:60:8F,4,1760148127.958505
488,67:1B:76:98:F8:0A,1,1760148127.968277
489,58:1D:3E:9A:9C:CF,4,1760148127.968720
490,49:25:F4:02:F1:57,7,1760148128.012350
491,49:25:F4:02:F1:57,7,1760148128.012436
492,49:25:F4:02:F1:57,7,1760148128.012613
493,49:25:F4:02:F1:57,7,1760148128.012662
494,67:1B:76:98:F8:0A,7,1760148128.023449
495,67:1B:76:98:F8:0A,7,1760148128.023621
496,58:1D:3E:9A:9C:CF,7,1760148128.024442
497,58:1D:3E:9A:9C:CF,7,1760148128.024596
498,6F:BD:31:06:60:8F,7,1760148128.028438
499,E8:DC:4C:47:ED:06,2,1760148128.056162
500,E8:DC:4C:47:ED:06,2,1760148128.056351
501,E8:DC:4C:47:ED:06,2,1760148128.056387
502,E9:E0:F5:D9:0D:AC,2,1760148128.059048
503,E9:E0:F5:D9:0D:AC,2,1760148128.059089
504,F7:8F:C1:10:E6:75,2,1760148128.064433
505,F7:8F:C1:10:E6:75,2,1760148128.064706
506,49:25:F4:02:F1:57,2,1760148128.067982
507,49:25:F4:02:F1:57,2,1760148128.068068
508,49:25:F4:02:F1:57,2,1760148128.068228
