cluster_id,t_s,t_e,chunk_idx,mac,n_keys,purity_cluster,entropy_cluster,is_quarantined,decision,d_best,n_rows_in_chunk_for_mac,seg_CFO_Hz,seg_CFO_00_Hz,seg_CFO_11_Hz,seg_CFO_10_Hz,seg_CFO_01_Hz
140,900.0,1800.0,1,C9:E5:07:A0:CA:44,1,1.0,0.0,0,SPAWN,73413234822427.7,1,19769.0,150253.0,-128453.0,125308.0,-101168.0
141,900.0,1800.0,1,A1:37:21:3A:03:A0,1,1.0,0.0,0,SPAWN,890444543947995.0,1,30912.0,125708.0,-106292.0,119083.0,-110448.0
142,900.0,1800.0,1,FC:B5:07:D9:15:E9,1,1.0,0.0,0,SPAWN,51721994957650.19,1,11028.0,151412.0,-123847.0,133455.0,-117557.0
143,900.0,1800.0,1,FA:7B:BA:35:63:C2,1,1.0,0.0,0,SPAWN,722181475078517.5,1,9781.0,109991.0,-86553.0,95822.0,-99883.0
144,900.0,1800.0,1,FA:7B:BE:35:63:C2,1,1.0,0.0,0,SPAWN,17665800379513.645,1,4991.0,144015.0,-113890.0,112152.0,-102251.0
145,900.0,1800.0,1,E3:86:AF:D6:C2:BB,1,1.0,0.0,0,SPAWN,596194729900.7041,1,-6178.0,144080.0,-117251.0,98566.0,-116763.0
146,900.0,1800.0,1,E7:73:9C:07:E7:99,1,1.0,0.0,0,SPAWN,55843785882170.13,1,1661.0,106310.0,-71713.0,109987.0,-120838.0
147,900.0,1800.0,1,D4:1B:99:F6:5C:A9,1,1.0,0.0,0,SPAWN,22255725284718.09,1,-1855.0,113612.0,-57276.0,110223.0,-82804.0
148,900.0,1800.0,1,D0:E3:F4:32:0F:09,1,1.0,0.0,0,SPAWN,121468454712677.44,3,2511.3333333333335,158620.33333333334,-151851.33333333334,117086.0,-117210.66666666667
149,900.0,1800.0,1,D0:EB:2E:3A:0F:09,1,1.0,0.0,0,SPAWN,12853509111858.564,1,3881.0,160755.0,-147883.0,121325.0,-123779.0
150,900.0,1800.0,1,D9:DD:94:D0:E9:B3,1,1.0,0.0,0,SPAWN,1038259479762.1772,3,-10183.0,130168.0,-117398.66666666667,116443.0,-107065.0
151,900.0,1800.0,1,FB:5D:94:D0:E9:B3,1,1.0,0.0,0,SPAWN,15596742268157.824,1,11325.0,162404.0,-147052.0,132659.0,-111212.0
152,900.0,1800.0,1,E0:FE:AE:F0:E2:2E,1,1.0,0.0,0,SPAWN,430102938522773.0,1,-572.0,110751.0,-106427.0,93225.0,-110419.0
153,900.0,1800.0,1,D4:31:B7:62:29:02,1,1.0,0.0,0,SPAWN,71767174165179.88,1,-38415.0,135922.0,-143699.0,114356.0,-89104.0
154,900.0,1800.0,1,D3:0E:F8:F5:10:2E,1,1.0,0.0,0,SPAWN,223215352867.6529,1,2668.0,119845.0,-138098.0,105980.0,-113011.0
